Linksventrikulaeres Schlagvolumen;Observation;Active;7/4/2022
Linksventrikulaeres Schlagvolumen Durch Indikatorverduennung;Observation;Active;23/3/2022
Linksventrikulaeres Schlagvolumenindex;Observation;Active;8/4/2022
Maximaler Beatmungsdruck;Observation;Active;21/4/2022
Mechanische Atemfrequenz Beatmet;Observation;Active;8/4/2022
Mittlerer Beatmungsdruck;Observation;Active;21/4/2022
Monitoring und Vitaldaten;Observation;Active;29/4/2022
Parameter von Beatmung;Observation;Active;23/5/2022
Parameter von Extrakorporalen Verfahren;Observation;Active;23/5/2022
Periphere Artierielle Sauerstoffsaettigung ICU;Observation;Active;16/3/2022
Positv Endexpiratorischer Druck;Observation;Active;16/3/2022
Pulmonalarterieller Blutdruck;Observation;Active;16/3/2022
Pulmonalarterieller Wedge Druck;Observation;Active;21/3/2022
Pulmonalvaskulaerer Widerstandsindex;Observation;Active;8/4/2022
Puls;Observation;Active;25/4/2022
Rechtsatrialer Druck;Observation;Active;8/4/2022
Rechtsventrikulaerer Druck;Observation;Active;16/3/2022
Sauerstofffraktion;Observation;Active;7/4/2022
Sauerstofffraktion Eingestellt;Observation;Active;7/4/2022
Sauerstoffgasfluss;Observation;Active;8/4/2022
Sauerstoffsaettigung Im Arteriellen Blut Per Pulsoxymetrie;Observation;Active;29/4/2022
Sauerstoffsaettigung Im Blut Postduktal Durch Pulsoxymetrie;Observation;Active;29/4/2022
Sauerstoffsaettigung Im Blut Preduktal Durch Pulsoxymetrie;Observation;Active;29/4/2022
Spontane Atemfrequenz Beatmet;Observation;Active;8/4/2022
Spontane Mechanische Atemfrequenz Beatmet;Observation;Active;8/4/2022
Spontanes Atemzugvolumen;Observation;Active;16/3/2022
Spontanes Plus Mechanisches Atemzugvolumen;Observation;Active;8/4/2022
Substituatfluss;Observation;Active;23/3/2022
Substituatvolumen;Observation;Active;23/3/2022
Systemischer Vaskulaerer Widerstandsindex;Observation;Active;8/4/2022
Unterstuzungsdruck Beatmung;Observation;Active;16/3/2022
Venoeser Druck;Observation;Active;31/3/2022
Zeitverhaeltnis Ein Ausatmung;Observation;Active;16/3/2022
Zentralvenoeser Blutdruck;Observation;Active;16/3/2022
Observation - VitalSignDE - Kopfumfang;Observation;Active;19/4/2022
SD MII Prozedur Procedure;Procedure;Active;2/5/2022
VitalSignDE;Observation;Active;19/4/2022
VitalSignDE Atemfrequenz;Observation;Active;22/4/2022
VitalSignDE Koerpergewicht;Observation;Active;19/4/2022
VitalSignDE Koerpergroesse;Observation;Active;19/4/2022
