"quantity_in_decimal";"conf_var_name";"conf_var_id"
3673;Beatmung_MS_Evita4_FiO2;103314
3620;Beatmung_MS_Evita4_frequenz;103323
3493;Beatmung_MS_Pallas_Frequenz;104727
3451;Beatmung_MS_Pallas_MV;104725
3395;Beatmung_ES_VisionA_Schlagvolumen;102874
3395;Nierenverfahren_ES_4008HS_DialyseZeit;103146
3394;Beatmung_MS_Pallas_Vt;104726
3388;Beatmung_MS_Evita4_PEEP;103318
3352;P_NEV_HD_ES_5008onl_Blutfluss;110796
3339;HZV;102051
3189;LAP;100091
3127;Beatmung_MS_Pallas_PEEP;104722
2563;P_NEV_HD_MS_5008onl_effBlutfluss;110777
2515;Beatmung_ES_Servoi_PEEP;104264
2225;Beatmung_ES_3100B_O2Konzentration;103214
1848;PWP;102018
1437;Beatmung_ES_Optiflow_O2Flow;106784
1396;Beatmung_ES_CF800_SauerstoffFlow;103091
1356;Nierenverfahren_ES_BM25_Umsatz;102992
1191;COPRA_Patient_Kopfumfang;11
1148;Nierenverfahren_MS_4008onl_effBlutfluss;103200
1020;Beatmung_MS_Servoi_Pmean;104249
1019;Patient_AufnGewicht;101322
912;Beatmung_MS_Servoi_PEEP;104248
869;NEV_CRRT_VO_Multi_CalciumFiltrat;104995
862;Beatmung_ES_Airvo_O2Flow;104150
835;RAP;102016
793;Nierenersatzverfahren_Einstell_DialyseZeit;102651
781;Patient_Kopfumfang_bit;108502
709;Beatmung_MS_Servoi_AF;104245
619;NEV_HD_MS_4008onl_effBlutfluss;104863
516;Nierenverfahren_ES_4008onl_Blutfluss;103180
476;NEV_HD_ES_4008onll_Blutfluss;104907
462;VigilanceC_SV;102186
439;Nierenverfahren_ES_4008onl_Dialysezeit;103205
419;Beatmung_Messung_AMV;100271
418;Nierenersatzverfahren_VO_DialyseZeit;102675
370;P_Beatmung_MS_C3_fTotal;108019
291;Beatmung_MS_HorowitzINPULS;104032
275;Beatmung_ES_BiPAPV_O2Konzentration;103126
254;Beatmung_Einstellung_Pmax;100264
253;Beatmung_ES_Servoi_Frequenz;104283
236;COPRA_Patient_Geburtsgewicht;14
226;Beatmung_MS_BiPAPV_AF;103127
220;Nierenverfahren_VO_Multi_Substituat;102940
209;Beatmung_MS_BiPAPV_Vt;103132
194;P_Beatmung_MS_C3_fSpontan;108018
175;Vigileo_SVRI;102181
165;Nierenverfahren_VO_Multi_Calcium;103054
163;VigilanceC_SVRI;102190
163;P_NEV_HD_ES_Genius_Blutfluss;117163
150;Beatmung_MS_BiPAPV_Pimax;102861
145;Beatmung_MS_BiPAPV_O2Konzentration;103130
114;PICCO_HZV;102173
89;PICCO_ZVD;102163
88;Nierenverfahren_ES_ADM_Austauschrate;103006
86;NEV_HD_ES_4008HS_BlutflussSNPumpe;104887
85;VigilanceC_SVI;102187
84;Beatmung_MS_Avea_SpontAF;103435
82;Beatmung_ES_BiPAPV_Inspirationszeit;103133
78;Nierenverfahren_VO_4008onl_Dialysezeit;103218
77;Beatmung_Einstellung_Flow;100104
77;VigilanceC_PVRI;102192
76;Nierenverfahren_ES_Multi_SubstituatBolus;102979
74;Beatmung_ES_Avea_FiO2;103413
66;Beatmung_MS_Avea_FiO2;103439
65;Beatmung_MS_Avea_SpontVte;103432
64;Beatmung_MS_Avea_Frequenz;103430
56;Beatmung_ES_Zephyros_FIO2;104161
54;Beatmung_MS_Servoi_MVi;104243
53;Nierenverfahren_VO_4008onl_Blutfluss;103220
53;Beatmung_MS_Avea_PEEP;103425
45;Beatmung_ES_Zephyros_Peep;104168
36;Beatmung_ES_Zephyros_Pmax;104173
36;Nierenverfahren_ES_4008HS_BlutflussSNPumpe;103153
33;Beatmung_MS_Evita4_fmand;103325
30;Beatmung_MS_C2_ExspFlow;104792
28;LVSAI;102024
23;PICCO_SVRI;102165
22;Beatmung_MS_Servoi_Cdyn;104236
20;Beatmung_MS_VisionA_PEEP;103142
19;Beatmung_MS_VisionA_Tidalvolumen;103084
17;P_NEV_HD_ES_5008onl_BlutflussSNPumpe;110795
16;Beatmung_ES_T1_Ti;106640
16;Nierenverfahren_VO_Multi_SubstituatBolus;102941
15;Beatmung_MS_VisionA_BreathRate;103265
14;NEV_HD_VO_4008HS_Blutfluss_SN_Pumpe;104942
13;CardioHelpMaquet_VO_Blutfluss;106339
13;Beatmung_MS_T1_fTotal;107875
12;Beatmung_MS_T1_fSpontan;107874
10;Beatmung_ES_VisionA_Ti;103260
10;Beatmung_MS_Avea_Mitteldruck;103429
6;Beatmung_ES_Evita2_O2Konzentration;103267
4;P_NEV_HD_VO_5008onl_BlutflussSNPumpe;110813
3;Nierenverfahren_ES_4008onl_BlutflussSNPumpe;103181
2;Beatmung_MS_Avea_MandAF;103436
2;Beatmung_MS_Zephyros_Ppeep;104189
1;NEV_HD_ES_4008onl_BlutflussSNPumpe;104906
1;Nierenverfahren_VO_4008HS_BlutflussSNPumpe;103246
1;Beatmung_ES_Avea_InspZeit;103415
1;Beatmung_MS_T1_ExspFlow;107873
